resynth_path,model,category,method,grouping,pair,instrument,alpha,distance
../data/URMP/Dataset/rearranged/test_fl,,,,,,,,0.04036015272140503
../data/URMP/Dataset/rearranged/test_tpt,,,,,,,,0.2988555431365967
../data/URMP/Dataset/rearranged/test_vn,,,,,,,,0.1652660369873047
./results_reordered/finetuned_from_30k_for_30k/resynthesis/fl,finetuned_from_30k_for_30k,resynthesis,,,,fl,,0.12915033102035522
./results_reordered/finetuned_from_30k_for_30k/output/fl_tpt/alpha_0,finetuned_from_30k_for_30k,output,output,,fl_tpt,,alpha_0,0.11702752113342285
./results_reordered/finetuned_from_30k_for_30k/output/fl_tpt/alpha_25,finetuned_from_30k_for_30k,output,output,,fl_tpt,,alpha_25,0.1188167929649353
./results_reordered/finetuned_from_30k_for_30k/output/fl_tpt/alpha_50,finetuned_from_30k_for_30k,output,output,,fl_tpt,,alpha_50,0.14310318231582642
./results_reordered/finetuned_from_30k_for_30k/output/fl_tpt/alpha_75,finetuned_from_30k_for_30k,output,output,,fl_tpt,,alpha_75,0.18168216943740845
./results_reordered/finetuned_from_30k_for_30k/output/fl_tpt/alpha_100,finetuned_from_30k_for_30k,output,output,,fl_tpt,,alpha_100,0.23334068059921265
./results_reordered/finetuned_from_30k_for_30k/output/tpt_fl/alpha_0,finetuned_from_30k_for_30k,output,output,,tpt_fl,,alpha_0,0.263088583946228
./results_reordered/finetuned_from_30k_for_30k/output/tpt_fl/alpha_25,finetuned_from_30k_for_30k,output,output,,tpt_fl,,alpha_25,0.24960368871688843
./results_reordered/finetuned_from_30k_for_30k/output/tpt_fl/alpha_50,finetuned_from_30k_for_30k,output,output,,tpt_fl,,alpha_50,0.23393899202346802
./results_reordered/finetuned_from_30k_for_30k/output/tpt_fl/alpha_75,finetuned_from_30k_for_30k,output,output,,tpt_fl,,alpha_75,0.21004921197891235
./results_reordered/finetuned_from_30k_for_30k/output/tpt_fl/alpha_100,finetuned_from_30k_for_30k,output,output,,tpt_fl,,alpha_100,0.1817488670349121
./results_reordered/finetuned_from_30k_for_30k/output/fl_vn/alpha_0,finetuned_from_30k_for_30k,output,output,,fl_vn,,alpha_0,0.11774981021881104
./results_reordered/finetuned_from_30k_for_30k/output/fl_vn/alpha_25,finetuned_from_30k_for_30k,output,output,,fl_vn,,alpha_25,0.12322306632995605
./results_reordered/finetuned_from_30k_for_30k/output/fl_vn/alpha_50,finetuned_from_30k_for_30k,output,output,,fl_vn,,alpha_50,0.13796329498291016
./results_reordered/finetuned_from_30k_for_30k/output/fl_vn/alpha_75,finetuned_from_30k_for_30k,output,output,,fl_vn,,alpha_75,0.16199564933776855
./results_reordered/finetuned_from_30k_for_30k/output/fl_vn/alpha_100,finetuned_from_30k_for_30k,output,output,,fl_vn,,alpha_100,0.20072811841964722
./results_reordered/finetuned_from_30k_for_30k/output/vn_fl/alpha_0,finetuned_from_30k_for_30k,output,output,,vn_fl,,alpha_0,0.2480265498161316
./results_reordered/finetuned_from_30k_for_30k/output/vn_fl/alpha_25,finetuned_from_30k_for_30k,output,output,,vn_fl,,alpha_25,0.2124529480934143
./results_reordered/finetuned_from_30k_for_30k/output/vn_fl/alpha_50,finetuned_from_30k_for_30k,output,output,,vn_fl,,alpha_50,0.17371976375579834
./results_reordered/finetuned_from_30k_for_30k/output/vn_fl/alpha_75,finetuned_from_30k_for_30k,output,output,,vn_fl,,alpha_75,0.14467763900756836
