resynth_path,model,category,method,grouping,pair,instrument,alpha,distance
../data/URMP/Dataset/rearranged/test_vn,,,,,,,,0.1652660369873047
../data/URMP/Dataset/rearranged/test_fl,,,,,,,,0.04036015272140503
../data/URMP/Dataset/rearranged/test_tpt,,,,,,,,0.2988555431365967
./results_reordered/from_scratch/resynthesis/vn,from_scratch,resynthesis,,,,vn,,0.2547738552093506
./results_reordered/from_scratch/resynthesis/fl,from_scratch,resynthesis,,,,fl,,0.14740067720413208
./results_reordered/from_scratch/resynthesis/tpt,from_scratch,resynthesis,,,,tpt,,0.2888264060020447
./results_reordered/from_scratch/output/fl_tpt/alpha_0,from_scratch,output,output,,fl_tpt,,alpha_0,0.13108813762664795
./results_reordered/from_scratch/output/fl_tpt/alpha_25,from_scratch,output,output,,fl_tpt,,alpha_25,0.17043358087539673
./results_reordered/from_scratch/output/fl_tpt/alpha_50,from_scratch,output,output,,fl_tpt,,alpha_50,0.2749755382537842
./results_reordered/from_scratch/output/fl_tpt/alpha_75,from_scratch,output,output,,fl_tpt,,alpha_75,0.3782212436199188
./results_reordered/from_scratch/output/fl_tpt/alpha_100,from_scratch,output,output,,fl_tpt,,alpha_100,0.30072587728500366
./results_reordered/from_scratch/output/tpt_fl/alpha_0,from_scratch,output,output,,tpt_fl,,alpha_0,0.3413093686103821
./results_reordered/from_scratch/output/tpt_fl/alpha_25,from_scratch,output,output,,tpt_fl,,alpha_25,0.42400360107421875
./results_reordered/from_scratch/output/tpt_fl/alpha_50,from_scratch,output,output,,tpt_fl,,alpha_50,0.4143602252006531
./results_reordered/from_scratch/output/tpt_fl/alpha_75,from_scratch,output,output,,tpt_fl,,alpha_75,0.3037758469581604
./results_reordered/from_scratch/output/tpt_fl/alpha_100,from_scratch,output,output,,tpt_fl,,alpha_100,0.20607447624206543
./results_reordered/from_scratch/output/fl_vn/alpha_0,from_scratch,output,output,,fl_vn,,alpha_0,0.13117343187332153
./results_reordered/from_scratch/output/fl_vn/alpha_25,from_scratch,output,output,,fl_vn,,alpha_25,0.18297535181045532
./results_reordered/from_scratch/output/fl_vn/alpha_50,from_scratch,output,output,,fl_vn,,alpha_50,0.2696654200553894
./results_reordered/from_scratch/output/fl_vn/alpha_75,from_scratch,output,output,,fl_vn,,alpha_75,0.26912444829940796
./results_reordered/from_scratch/output/fl_vn/alpha_100,from_scratch,output,output,,fl_vn,,alpha_100,0.2397092580795288
./results_reordered/from_scratch/output/vn_fl/alpha_0,from_scratch,output,output,,vn_fl,,alpha_0,0.26245778799057007
./results_reordered/from_scratch/output/vn_fl/alpha_25,from_scratch,output,output,,vn_fl,,alpha_25,0.28585028648376465
./results_reordered/from_scratch/output/vn_fl/alpha_50,from_scratch,output,output,,vn_fl,,alpha_50,0.2865312099456787
./results_reordered/from_scratch/output/vn_fl/alpha_75,from_scratch,output,output,,vn_fl,,alpha_75,0.1983974575996399
./results_reordered/from_scratch/output/vn_fl/alpha_100,from_scratch,output,output,,vn_fl,,alpha_100,0.14653515815734863
./results_reordered/from_scratch/weights/fl_tpt/alpha_0,from_scratch,weights,weights,,fl_tpt,,alpha_0,0.1312428116798401
./results_reordered/from_scratch/weights/fl_tpt/alpha_25,from_scratch,weights,weights,,fl_tpt,,alpha_25,0.49171438813209534
./results_reordered/from_scratch/weights/fl_tpt/alpha_50,from_scratch,weights,weights,,fl_tpt,,alpha_50,0.649063766002655
./results_reordered/from_scratch/weights/fl_tpt/alpha_75,from_scratch,weights,weights,,fl_tpt,,alpha_75,0.499565988779068
./results_reordered/from_scratch/weights/fl_tpt/alpha_100,from_scratch,weights,weights,,fl_tpt,,alpha_100,0.29966312646865845
./results_reordered/from_scratch/weights/tpt_fl/alpha_0,from_scratch,weights,weights,,tpt_fl,,alpha_0,0.34091126918792725
./results_reordered/from_scratch/weights/tpt_fl/alpha_25,from_scratch,weights,weights,,tpt_fl,,alpha_25,0.46810242533683777
./results_reordered/from_scratch/weights/tpt_fl/alpha_50,from_scratch,weights,weights,,tpt_fl,,alpha_50,0.5706716775894165
./results_reordered/from_scratch/weights/tpt_fl/alpha_75,from_scratch,weights,weights,,tpt_fl,,alpha_75,0.4387000799179077
./results_reordered/from_scratch/weights/tpt_fl/alpha_100,from_scratch,weights,weights,,tpt_fl,,alpha_100,0.2061648964881897
./results_reordered/from_scratch/weights/fl_vn/alpha_0,from_scratch,weights,weights,,fl_vn,,alpha_0,0.1305122971534729
./results_reordered/from_scratch/weights/fl_vn/alpha_25,from_scratch,weights,weights,,fl_vn,,alpha_25,0.22838860750198364
./results_reordered/from_scratch/weights/fl_vn/alpha_50,from_scratch,weights,weights,,fl_vn,,alpha_50,0.2520744800567627
./results_reordered/from_scratch/weights/fl_vn/alpha_75,from_scratch,weights,weights,,fl_vn,,alpha_75,0.2887558341026306
./results_reordered/from_scratch/weights/fl_vn/alpha_100,from_scratch,weights,weights,,fl_vn,,alpha_100,0.239696204662323
./results_reordered/from_scratch/weights/vn_fl/alpha_0,from_scratch,weights,weights,,vn_fl,,alpha_0,0.2629272937774658
./results_reordered/from_scratch/weights/vn_fl/alpha_25,from_scratch,weights,weights,,vn_fl,,alpha_25,0.29757094383239746
./results_reordered/from_scratch/weights/vn_fl/alpha_50,from_scratch,weights,weights,,vn_fl,,alpha_50,0.23715001344680786
./results_reordered/from_scratch/weights/vn_fl/alpha_75,from_scratch,weights,weights,,vn_fl,,alpha_75,0.24730998277664185
./results_reordered/from_scratch/weights/vn_fl/alpha_100,from_scratch,weights,weights,,vn_fl,,alpha_100,0.14673519134521484
