resynth_path,model,category,method,grouping,pair,instrument,alpha,distance
../data/URMP/Dataset/rearranged/test_vn,,,,,,,,0.34773051738739014
../data/URMP/Dataset/rearranged/test_fl,,,,,,,,0.2668348550796509
../data/URMP/Dataset/rearranged/test_tpt,,,,,,,,0.02361530065536499
./results_reordered/finetuned_from_30k_for_30k/resynthesis/vn,finetuned_from_30k_for_30k,resynthesis,,,,vn,,0.3872985243797302
./results_reordered/finetuned_from_30k_for_30k/resynthesis/fl,finetuned_from_30k_for_30k,resynthesis,,,,fl,,0.21754413843154907
./results_reordered/finetuned_from_30k_for_30k/resynthesis/tpt,finetuned_from_30k_for_30k,resynthesis,,,,tpt,,0.12816935777664185
./results_reordered/finetuned_from_30k_for_30k/output/tpt_vn/alpha_0,finetuned_from_30k_for_30k,output,output,,tpt_vn,,alpha_0,0.13372182846069336
./results_reordered/finetuned_from_30k_for_30k/output/tpt_vn/alpha_25,finetuned_from_30k_for_30k,output,output,,tpt_vn,,alpha_25,0.21861517429351807
./results_reordered/finetuned_from_30k_for_30k/output/tpt_vn/alpha_50,finetuned_from_30k_for_30k,output,output,,tpt_vn,,alpha_50,0.28104186058044434
./results_reordered/finetuned_from_30k_for_30k/output/tpt_vn/alpha_75,finetuned_from_30k_for_30k,output,output,,tpt_vn,,alpha_75,0.3390861749649048
./results_reordered/finetuned_from_30k_for_30k/output/tpt_vn/alpha_100,finetuned_from_30k_for_30k,output,output,,tpt_vn,,alpha_100,0.3881800174713135
./results_reordered/finetuned_from_30k_for_30k/output/vn_tpt/alpha_0,finetuned_from_30k_for_30k,output,output,,vn_tpt,,alpha_0,0.40206557512283325
./results_reordered/finetuned_from_30k_for_30k/output/vn_tpt/alpha_25,finetuned_from_30k_for_30k,output,output,,vn_tpt,,alpha_25,0.34752339124679565
./results_reordered/finetuned_from_30k_for_30k/output/vn_tpt/alpha_50,finetuned_from_30k_for_30k,output,output,,vn_tpt,,alpha_50,0.2839471101760864
./results_reordered/finetuned_from_30k_for_30k/output/vn_tpt/alpha_75,finetuned_from_30k_for_30k,output,output,,vn_tpt,,alpha_75,0.20391309261322021
./results_reordered/finetuned_from_30k_for_30k/output/vn_tpt/alpha_100,finetuned_from_30k_for_30k,output,output,,vn_tpt,,alpha_100,0.12473517656326294
./results_reordered/finetuned_from_30k_for_30k/output/tpt_fl/alpha_0,finetuned_from_30k_for_30k,output,output,,tpt_fl,,alpha_0,0.13382506370544434
./results_reordered/finetuned_from_30k_for_30k/output/tpt_fl/alpha_25,finetuned_from_30k_for_30k,output,output,,tpt_fl,,alpha_25,0.14682364463806152
./results_reordered/finetuned_from_30k_for_30k/output/tpt_fl/alpha_50,finetuned_from_30k_for_30k,output,output,,tpt_fl,,alpha_50,0.17231661081314087
./results_reordered/finetuned_from_30k_for_30k/output/tpt_fl/alpha_75,finetuned_from_30k_for_30k,output,output,,tpt_fl,,alpha_75,0.21400129795074463
./results_reordered/finetuned_from_30k_for_30k/output/tpt_fl/alpha_100,finetuned_from_30k_for_30k,output,output,,tpt_fl,,alpha_100,0.25804775953292847
./results_reordered/finetuned_from_30k_for_30k/output/fl_tpt/alpha_0,finetuned_from_30k_for_30k,output,output,,fl_tpt,,alpha_0,0.2643302083015442
./results_reordered/finetuned_from_30k_for_30k/output/fl_tpt/alpha_25,finetuned_from_30k_for_30k,output,output,,fl_tpt,,alpha_25,0.24688267707824707
./results_reordered/finetuned_from_30k_for_30k/output/fl_tpt/alpha_50,finetuned_from_30k_for_30k,output,output,,fl_tpt,,alpha_50,0.22623389959335327
./results_reordered/finetuned_from_30k_for_30k/output/fl_tpt/alpha_75,finetuned_from_30k_for_30k,output,output,,fl_tpt,,alpha_75,0.21693891286849976
./results_reordered/finetuned_from_30k_for_30k/output/fl_tpt/alpha_100,finetuned_from_30k_for_30k,output,output,,fl_tpt,,alpha_100,0.22202402353286743
./results_reordered/finetuned_from_30k_for_30k/weights/tpt_vn/alpha_0,finetuned_from_30k_for_30k,weights,weights,,tpt_vn,,alpha_0,0.13426321744918823
./results_reordered/finetuned_from_30k_for_30k/weights/tpt_vn/alpha_25,finetuned_from_30k_for_30k,weights,weights,,tpt_vn,,alpha_25,0.20491409301757812
