resynth_path,model,category,method,grouping,pair,instrument,alpha,distance
../data/URMP/Dataset/rearranged/test_fl,,,,,,,,0.2668348550796509
../data/URMP/Dataset/rearranged/test_tpt,,,,,,,,0.02361530065536499
../data/URMP/Dataset/rearranged/test_vn,,,,,,,,0.34773051738739014
./results_reordered/from_scratch/resynthesis/tpt,from_scratch,resynthesis,,,,tpt,,0.21189874410629272
./results_reordered/from_scratch/output/tpt_vn/alpha_0,from_scratch,output,output,,tpt_vn,,alpha_0,0.21968090534210205
./results_reordered/from_scratch/output/tpt_vn/alpha_25,from_scratch,output,output,,tpt_vn,,alpha_25,0.34271448850631714
./results_reordered/from_scratch/output/tpt_vn/alpha_50,from_scratch,output,output,,tpt_vn,,alpha_50,0.3835785388946533
./results_reordered/from_scratch/output/tpt_vn/alpha_75,from_scratch,output,output,,tpt_vn,,alpha_75,0.38137322664260864
./results_reordered/from_scratch/output/tpt_vn/alpha_100,from_scratch,output,output,,tpt_vn,,alpha_100,0.39644914865493774
./results_reordered/from_scratch/output/vn_tpt/alpha_0,from_scratch,output,output,,vn_tpt,,alpha_0,0.41397637128829956
./results_reordered/from_scratch/output/vn_tpt/alpha_25,from_scratch,output,output,,vn_tpt,,alpha_25,0.3887273073196411
./results_reordered/from_scratch/output/vn_tpt/alpha_50,from_scratch,output,output,,vn_tpt,,alpha_50,0.37446272373199463
./results_reordered/from_scratch/output/vn_tpt/alpha_75,from_scratch,output,output,,vn_tpt,,alpha_75,0.32935094833374023
./results_reordered/from_scratch/output/vn_tpt/alpha_100,from_scratch,output,output,,vn_tpt,,alpha_100,0.21203720569610596
./results_reordered/from_scratch/output/tpt_fl/alpha_0,from_scratch,output,output,,tpt_fl,,alpha_0,0.21897536516189575
./results_reordered/from_scratch/output/tpt_fl/alpha_25,from_scratch,output,output,,tpt_fl,,alpha_25,0.2669141888618469
./results_reordered/from_scratch/output/tpt_fl/alpha_50,from_scratch,output,output,,tpt_fl,,alpha_50,0.27862733602523804
./results_reordered/from_scratch/output/tpt_fl/alpha_75,from_scratch,output,output,,tpt_fl,,alpha_75,0.27106398344039917
./results_reordered/from_scratch/output/tpt_fl/alpha_100,from_scratch,output,output,,tpt_fl,,alpha_100,0.28975218534469604
./results_reordered/from_scratch/output/fl_tpt/alpha_0,from_scratch,output,output,,fl_tpt,,alpha_0,0.29895293712615967
./results_reordered/from_scratch/output/fl_tpt/alpha_25,from_scratch,output,output,,fl_tpt,,alpha_25,0.26353001594543457
./results_reordered/from_scratch/output/fl_tpt/alpha_50,from_scratch,output,output,,fl_tpt,,alpha_50,0.26013457775115967
./results_reordered/from_scratch/output/fl_tpt/alpha_75,from_scratch,output,output,,fl_tpt,,alpha_75,0.3001976013183594
./results_reordered/from_scratch/output/fl_tpt/alpha_100,from_scratch,output,output,,fl_tpt,,alpha_100,0.2817986011505127
./results_reordered/from_scratch/weights/tpt_vn/alpha_0,from_scratch,weights,weights,,tpt_vn,,alpha_0,0.21919584274291992
./results_reordered/from_scratch/weights/tpt_vn/alpha_25,from_scratch,weights,weights,,tpt_vn,,alpha_25,0.2957884669303894
./results_reordered/from_scratch/weights/tpt_vn/alpha_50,from_scratch,weights,weights,,tpt_vn,,alpha_50,0.29154956340789795
./results_reordered/from_scratch/weights/tpt_vn/alpha_75,from_scratch,weights,weights,,tpt_vn,,alpha_75,0.3515939712524414
./results_reordered/from_scratch/weights/tpt_vn/alpha_100,from_scratch,weights,weights,,tpt_vn,,alpha_100,0.39617884159088135
./results_reordered/from_scratch/weights/vn_tpt/alpha_0,from_scratch,weights,weights,,vn_tpt,,alpha_0,0.4142141342163086
./results_reordered/from_scratch/weights/vn_tpt/alpha_25,from_scratch,weights,weights,,vn_tpt,,alpha_25,0.3692835569381714
./results_reordered/from_scratch/weights/vn_tpt/alpha_50,from_scratch,weights,weights,,vn_tpt,,alpha_50,0.3405575752258301
./results_reordered/from_scratch/weights/vn_tpt/alpha_75,from_scratch,weights,weights,,vn_tpt,,alpha_75,0.302498459815979
./results_reordered/from_scratch/weights/vn_tpt/alpha_100,from_scratch,weights,weights,,vn_tpt,,alpha_100,0.21176528930664062
./results_reordered/from_scratch/weights/tpt_fl/alpha_0,from_scratch,weights,weights,,tpt_fl,,alpha_0,0.21881985664367676
./results_reordered/from_scratch/weights/tpt_fl/alpha_25,from_scratch,weights,weights,,tpt_fl,,alpha_25,0.30862730741500854
./results_reordered/from_scratch/weights/tpt_fl/alpha_50,from_scratch,weights,weights,,tpt_fl,,alpha_50,0.46680736541748047
./results_reordered/from_scratch/weights/tpt_fl/alpha_75,from_scratch,weights,weights,,tpt_fl,,alpha_75,0.3517150282859802
./results_reordered/from_scratch/weights/tpt_fl/alpha_100,from_scratch,weights,weights,,tpt_fl,,alpha_100,0.28986257314682007
./results_reordered/from_scratch/weights/fl_tpt/alpha_0,from_scratch,weights,weights,,fl_tpt,,alpha_0,0.2992834448814392
./results_reordered/from_scratch/weights/fl_tpt/alpha_25,from_scratch,weights,weights,,fl_tpt,,alpha_25,0.47304683923721313
./results_reordered/from_scratch/weights/fl_tpt/alpha_50,from_scratch,weights,weights,,fl_tpt,,alpha_50,0.6233782768249512
./results_reordered/from_scratch/weights/fl_tpt/alpha_75,from_scratch,weights,weights,,fl_tpt,,alpha_75,0.4517623484134674
./results_reordered/from_scratch/weights/fl_tpt/alpha_100,from_scratch,weights,weights,,fl_tpt,,alpha_100,0.28171777725219727
