resynth_path,model,category,method,grouping,pair,instrument,alpha,distance
../data/URMP/Dataset/rearranged/test_fl,,,,,,,,0.23889219760894775
../data/URMP/Dataset/rearranged/test_tpt,,,,,,,,0.37122583389282227
../data/URMP/Dataset/rearranged/test_vn,,,,,,,,0.01216435432434082
./results_reordered/from_scratch/resynthesis/vn,from_scratch,resynthesis,,,,vn,,0.09585916996002197
./results_reordered/from_scratch/output/vn_tpt/alpha_0,from_scratch,output,output,,vn_tpt,,alpha_0,0.09279656410217285
./results_reordered/from_scratch/output/vn_tpt/alpha_25,from_scratch,output,output,,vn_tpt,,alpha_25,0.1765075922012329
./results_reordered/from_scratch/output/vn_tpt/alpha_50,from_scratch,output,output,,vn_tpt,,alpha_50,0.2974352240562439
./results_reordered/from_scratch/output/vn_tpt/alpha_75,from_scratch,output,output,,vn_tpt,,alpha_75,0.3505834937095642
./results_reordered/from_scratch/output/vn_tpt/alpha_100,from_scratch,output,output,,vn_tpt,,alpha_100,0.2750862240791321
./results_reordered/from_scratch/output/tpt_vn/alpha_0,from_scratch,output,output,,tpt_vn,,alpha_0,0.3240841031074524
./results_reordered/from_scratch/output/tpt_vn/alpha_25,from_scratch,output,output,,tpt_vn,,alpha_25,0.3664637804031372
./results_reordered/from_scratch/output/tpt_vn/alpha_50,from_scratch,output,output,,tpt_vn,,alpha_50,0.3267158269882202
./results_reordered/from_scratch/output/tpt_vn/alpha_75,from_scratch,output,output,,tpt_vn,,alpha_75,0.22582411766052246
./results_reordered/from_scratch/output/tpt_vn/alpha_100,from_scratch,output,output,,tpt_vn,,alpha_100,0.12838071584701538
./results_reordered/from_scratch/output/vn_fl/alpha_0,from_scratch,output,output,,vn_fl,,alpha_0,0.09248000383377075
./results_reordered/from_scratch/output/vn_fl/alpha_25,from_scratch,output,output,,vn_fl,,alpha_25,0.1561540961265564
./results_reordered/from_scratch/output/vn_fl/alpha_50,from_scratch,output,output,,vn_fl,,alpha_50,0.22881394624710083
./results_reordered/from_scratch/output/vn_fl/alpha_75,from_scratch,output,output,,vn_fl,,alpha_75,0.20489543676376343
./results_reordered/from_scratch/output/vn_fl/alpha_100,from_scratch,output,output,,vn_fl,,alpha_100,0.19974911212921143
./results_reordered/from_scratch/output/fl_vn/alpha_0,from_scratch,output,output,,fl_vn,,alpha_0,0.25484955310821533
./results_reordered/from_scratch/output/fl_vn/alpha_25,from_scratch,output,output,,fl_vn,,alpha_25,0.24497383832931519
./results_reordered/from_scratch/output/fl_vn/alpha_50,from_scratch,output,output,,fl_vn,,alpha_50,0.25600868463516235
./results_reordered/from_scratch/output/fl_vn/alpha_75,from_scratch,output,output,,fl_vn,,alpha_75,0.1945399045944214
./results_reordered/from_scratch/output/fl_vn/alpha_100,from_scratch,output,output,,fl_vn,,alpha_100,0.14632874727249146
./results_reordered/from_scratch/weights/vn_tpt/alpha_0,from_scratch,weights,weights,,vn_tpt,,alpha_0,0.09332507848739624
./results_reordered/from_scratch/weights/vn_tpt/alpha_25,from_scratch,weights,weights,,vn_tpt,,alpha_25,0.3303896188735962
./results_reordered/from_scratch/weights/vn_tpt/alpha_50,from_scratch,weights,weights,,vn_tpt,,alpha_50,0.3867395520210266
./results_reordered/from_scratch/weights/vn_tpt/alpha_75,from_scratch,weights,weights,,vn_tpt,,alpha_75,0.37206047773361206
./results_reordered/from_scratch/weights/vn_tpt/alpha_100,from_scratch,weights,weights,,vn_tpt,,alpha_100,0.2747628688812256
./results_reordered/from_scratch/weights/tpt_vn/alpha_0,from_scratch,weights,weights,,tpt_vn,,alpha_0,0.32405734062194824
./results_reordered/from_scratch/weights/tpt_vn/alpha_25,from_scratch,weights,weights,,tpt_vn,,alpha_25,0.37331873178482056
./results_reordered/from_scratch/weights/tpt_vn/alpha_50,from_scratch,weights,weights,,tpt_vn,,alpha_50,0.3935116231441498
./results_reordered/from_scratch/weights/tpt_vn/alpha_75,from_scratch,weights,weights,,tpt_vn,,alpha_75,0.34211617708206177
./results_reordered/from_scratch/weights/tpt_vn/alpha_100,from_scratch,weights,weights,,tpt_vn,,alpha_100,0.1282394528388977
./results_reordered/from_scratch/weights/vn_fl/alpha_0,from_scratch,weights,weights,,vn_fl,,alpha_0,0.09301084280014038
./results_reordered/from_scratch/weights/vn_fl/alpha_25,from_scratch,weights,weights,,vn_fl,,alpha_25,0.14314866065979004
./results_reordered/from_scratch/weights/vn_fl/alpha_50,from_scratch,weights,weights,,vn_fl,,alpha_50,0.19903910160064697
./results_reordered/from_scratch/weights/vn_fl/alpha_75,from_scratch,weights,weights,,vn_fl,,alpha_75,0.2382054328918457
./results_reordered/from_scratch/weights/vn_fl/alpha_100,from_scratch,weights,weights,,vn_fl,,alpha_100,0.20012056827545166
./results_reordered/from_scratch/weights/fl_vn/alpha_0,from_scratch,weights,weights,,fl_vn,,alpha_0,0.25446826219558716
./results_reordered/from_scratch/weights/fl_vn/alpha_25,from_scratch,weights,weights,,fl_vn,,alpha_25,0.2746767997741699
./results_reordered/from_scratch/weights/fl_vn/alpha_50,from_scratch,weights,weights,,fl_vn,,alpha_50,0.2647886872291565
./results_reordered/from_scratch/weights/fl_vn/alpha_75,from_scratch,weights,weights,,fl_vn,,alpha_75,0.19907164573669434
./results_reordered/from_scratch/weights/fl_vn/alpha_100,from_scratch,weights,weights,,fl_vn,,alpha_100,0.14662599563598633
