"Step","base_model - loss","base_model - loss__MIN","base_model - loss__MAX"
"100","8.812786102294922","8.812786102294922","8.812786102294922"
"200","7.357602119445801","7.357602119445801","7.357602119445801"
"300","6.8774919509887695","6.8774919509887695","6.8774919509887695"
"400","6.731173515319824","6.731173515319824","6.731173515319824"
"500","6.208904266357422","6.208904266357422","6.208904266357422"
"600","6.143134593963623","6.143134593963623","6.143134593963623"
"700","6.2384538650512695","6.2384538650512695","6.2384538650512695"
"800","6.077123641967773","6.077123641967773","6.077123641967773"
"900","6.133282661437988","6.133282661437988","6.133282661437988"
"1000","6.304667949676514","6.304667949676514","6.304667949676514"
"1100","5.9345383644104","5.9345383644104","5.9345383644104"
"1200","5.928483486175537","5.928483486175537","5.928483486175537"
"1300","5.909469127655029","5.909469127655029","5.909469127655029"
"1400","5.971351623535156","5.971351623535156","5.971351623535156"
"1500","6.314227104187012","6.314227104187012","6.314227104187012"
"1600","6.076296329498291","6.076296329498291","6.076296329498291"
"1700","6.046915531158447","6.046915531158447","6.046915531158447"
"1800","5.595134735107422","5.595134735107422","5.595134735107422"
"1900","5.79569673538208","5.79569673538208","5.79569673538208"
"2000","5.692195892333984","5.692195892333984","5.692195892333984"
"2100","6.202150821685791","6.202150821685791","6.202150821685791"
"2200","5.556520462036133","5.556520462036133","5.556520462036133"
"2300","5.587338924407959","5.587338924407959","5.587338924407959"
"2400","5.881533145904541","5.881533145904541","5.881533145904541"
"2500","5.573305130004883","5.573305130004883","5.573305130004883"
"2600","5.5007710456848145","5.5007710456848145","5.5007710456848145"
"2700","5.960153579711914","5.960153579711914","5.960153579711914"
"2800","5.723659992218018","5.723659992218018","5.723659992218018"
"2900","5.417418479919434","5.417418479919434","5.417418479919434"
"3000","5.6736040115356445","5.6736040115356445","5.6736040115356445"
"3100","5.591766357421875","5.591766357421875","5.591766357421875"
"3200","5.441534996032715","5.441534996032715","5.441534996032715"
"3300","5.744895935058594","5.744895935058594","5.744895935058594"
"3400","5.695979595184326","5.695979595184326","5.695979595184326"
"3500","5.6311845779418945","5.6311845779418945","5.6311845779418945"
"3600","5.463977336883545","5.463977336883545","5.463977336883545"
"3700","5.461130619049072","5.461130619049072","5.461130619049072"
"3800","5.567934513092041","5.567934513092041","5.567934513092041"
"3900","5.381409168243408","5.381409168243408","5.381409168243408"
"4000","5.652769088745117","5.652769088745117","5.652769088745117"
"4100","5.5033650398254395","5.5033650398254395","5.5033650398254395"
"4200","5.461767196655273","5.461767196655273","5.461767196655273"
"4300","5.2953877449035645","5.2953877449035645","5.2953877449035645"
"4400","5.515241622924805","5.515241622924805","5.515241622924805"
"4500","5.336703300476074","5.336703300476074","5.336703300476074"
"4600","5.508260250091553","5.508260250091553","5.508260250091553"
"4700","5.5345025062561035","5.5345025062561035","5.5345025062561035"
"4800","4.921212196350098","4.921212196350098","4.921212196350098"
"4900","5.060771942138672","5.060771942138672","5.060771942138672"
"5000","5.363946437835693","5.363946437835693","5.363946437835693"
"5100","5.361861228942871","5.361861228942871","5.361861228942871"
"5200","5.291097640991211","5.291097640991211","5.291097640991211"
"5300","5.443077087402344","5.443077087402344","5.443077087402344"
"5400","5.212965965270996","5.212965965270996","5.212965965270996"
"5500","5.344279766082764","5.344279766082764","5.344279766082764"
"5600","5.547351360321045","5.547351360321045","5.547351360321045"
"5700","4.792717456817627","4.792717456817627","4.792717456817627"
"5800","5.483435153961182","5.483435153961182","5.483435153961182"
"5900","5.03456974029541","5.03456974029541","5.03456974029541"
"6000","5.361721515655518","5.361721515655518","5.361721515655518"
"6100","5.4124603271484375","5.4124603271484375","5.4124603271484375"
"6200","5.298870086669922","5.298870086669922","5.298870086669922"
"6300","5.372016906738281","5.372016906738281","5.372016906738281"
"6400","5.617063999176025","5.617063999176025","5.617063999176025"
"6500","5.278281211853027","5.278281211853027","5.278281211853027"
"6600","5.280460357666016","5.280460357666016","5.280460357666016"
"6700","5.413971900939941","5.413971900939941","5.413971900939941"
"6800","5.462057113647461","5.462057113647461","5.462057113647461"
"6900","5.276819705963135","5.276819705963135","5.276819705963135"
"7000","5.189239025115967","5.189239025115967","5.189239025115967"
"7100","5.536548137664795","5.536548137664795","5.536548137664795"
"7200","5.269292831420898","5.269292831420898","5.269292831420898"
"7300","5.472813606262207","5.472813606262207","5.472813606262207"
"7400","5.319927215576172","5.319927215576172","5.319927215576172"
"7500","5.438669681549072","5.438669681549072","5.438669681549072"
