"Step","tpt - loss","tpt - loss__MIN","tpt - loss__MAX","fl - loss","fl - loss__MIN","fl - loss__MAX","vn - loss","vn - loss__MIN","vn - loss__MAX"
"100","5.060201168060303","5.060201168060303","5.060201168060303","4.774974822998047","4.774974822998047","4.774974822998047","5.308193683624268","5.308193683624268","5.308193683624268"
"200","5.0693888664245605","5.0693888664245605","5.0693888664245605","4.765876293182373","4.765876293182373","4.765876293182373","5.01847505569458","5.01847505569458","5.01847505569458"
"300","4.929959774017334","4.929959774017334","4.929959774017334","4.841338634490967","4.841338634490967","4.841338634490967","4.860142707824707","4.860142707824707","4.860142707824707"
"400","4.906354904174805","4.906354904174805","4.906354904174805","5.022557735443115","5.022557735443115","5.022557735443115","5.0641679763793945","5.0641679763793945","5.0641679763793945"
"500","4.775800704956055","4.775800704956055","4.775800704956055","5.041339874267578","5.041339874267578","5.041339874267578","4.877064228057861","4.877064228057861","4.877064228057861"
"600","4.921792030334473","4.921792030334473","4.921792030334473","4.869007587432861","4.869007587432861","4.869007587432861","4.782050132751465","4.782050132751465","4.782050132751465"
"700","4.681766986846924","4.681766986846924","4.681766986846924","4.5407843589782715","4.5407843589782715","4.5407843589782715","4.9944915771484375","4.9944915771484375","4.9944915771484375"
"800","4.793609142303467","4.793609142303467","4.793609142303467","4.87849760055542","4.87849760055542","4.87849760055542","4.964273929595947","4.964273929595947","4.964273929595947"
"900","4.644386291503906","4.644386291503906","4.644386291503906","4.837310314178467","4.837310314178467","4.837310314178467","4.9910054206848145","4.9910054206848145","4.9910054206848145"
"1000","4.846785545349121","4.846785545349121","4.846785545349121","4.858734607696533","4.858734607696533","4.858734607696533","4.986688613891602","4.986688613891602","4.986688613891602"
"1100","4.844958305358887","4.844958305358887","4.844958305358887","4.764008045196533","4.764008045196533","4.764008045196533","4.688757419586182","4.688757419586182","4.688757419586182"
"1200","4.62064790725708","4.62064790725708","4.62064790725708","4.784908771514893","4.784908771514893","4.784908771514893","4.761538028717041","4.761538028717041","4.761538028717041"
"1300","4.831401348114014","4.831401348114014","4.831401348114014","4.772935390472412","4.772935390472412","4.772935390472412","4.836781978607178","4.836781978607178","4.836781978607178"
